plaza;estrato;Sexo;Edad;estudios;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;p23;p24;p25;p26;p27;p28;p29;p30;p31;p32;p33;p34;p35;p36;p37;p38;LARRETA;MANES;VIDAL;CFK;SCIOLI;MACRI;MASSA;BULLRICH;MILEI;LOUSTEAU;KICILLOF;SANTILLI;zona;weight
San Nicolás;6;Hombre;Entre 30 y 49 años;Nivel Secundario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;El Frente de Izquierda;Myriam Bregman por el Frente de Izquierda;Myriam Bregman por el Frente de Izquierda;Myriam Bregman por el Frente de Izquierda;Myriam Bregman por el Frente de Izquierda;Myriam Bregman por el Frente de Izquierda;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Mala;Ns/Nc;Mala;Mala;Mala;Mala;Mala;Mala;Mala;Mala;Mala;Mala;Néstor Pitrola por el Frente de Izquierda;José Luis Espert;Muchas;Negativa;Ns Nr;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Grandes;1.062
San Nicolás;6;Hombre;Entre 30 y 49 años;Nivel Secundario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Frente de Todos de Cristina y Alberto Fernández;Daniel Scioli por el Frente de Todos;Daniel Scioli por el Frente de Todos;Otro candidato;Cristina Kirchner  por el Frente de Todos;Otro candidato;Daniel Scioli por el Frente de Todos;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Mala;Mala;Buena;Buena;Buena;Mala;Mala;Mala;Mala;Mala;Mala;Mala;Indeciso;Alberto Fernández y Cristina Kirchner;Muchas;Negativa;Negativa;Positiva;Positiva;Positiva;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Grandes;1.062
San Nicolás;6;Hombre;Entre 30 y 49 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;La Libertad Avanza de Javier Milei;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Mala;Buena;Muy buena;Muy mala;Muy mala;Muy mala;Muy mala;Muy buena;Muy buena;Mala;Muy mala;Mala;José Luis Espert por la Libertad Avanza ;José Luis Espert;Muchas;Negativa;Positiva;Positiva;Negativa;Negativa;Negativa;Negativa;Positiva;Positiva;Negativa;Negativa;Negativa;Grandes;1.062
San Nicolás;6;Hombre;Mayor de 50 años;Nivel Primario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo que genere diálogo y  consensos ;No sabe/ no tiene opinión formada;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;La Libertad Avanza de Javier Milei;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Sergio Massa por el Frente de Todos;Javier Milei de Avanza Libertad;Mala;Ns/Nc;Buena;Mala;Mala;Muy mala;Buena;Mala;Buena;Ns/Nc;Mala;Ns/Nc;Fernando Burlando por la Libertad Avanza;Alberto Fernández y Cristina Kirchner;Muchas;Negativa;Ns Nr;Positiva;Negativa;Negativa;Negativa;Positiva;Negativa;Positiva;Ns Nr;Negativa;Ns Nr;Grandes;1.062
San Nicolás;6;Hombre;Mayor de 50 años;Nivel Secundario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;La Libertad Avanza de Javier Milei;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Mala;Ns/Nc;Buena;Mala;Mala;Mala;Mala;Mala;Buena;Ns/Nc;Mala;Ns/Nc;Fernando Burlando por la Libertad Avanza;Mauricio Macri y Miguel Pichetto;Muchas;Negativa;Ns Nr;Positiva;Negativa;Negativa;Negativa;Negativa;Negativa;Positiva;Ns Nr;Negativa;Ns Nr;Grandes;1.062
Gba;2;Mujer;Entre 30 y 49 años;Nivel Secundario, ya sea completo o incompleto;Siga gobernando el peronismo;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Seguro lo votaría;Podría llegar a votarlo;Podría llegar a votarlo;Frente de Todos de Cristina y Alberto Fernández;Otro candidato;Otro candidato;Axel Kicillof  por el Frente de Todos;Cristina Kirchner  por el Frente de Todos;Otro candidato;Ninguno de los dos;Ninguno de los dos;Ninguno de los dos;Ninguno de los dos;Mala;Buena;Muy mala;Muy buena;Muy mala;Muy mala;Buena;Muy mala;Muy mala;Mala;Buena;Mala;Axel Kicillof por el Frente de Todos;Alberto Fernández y Cristina Kirchner;Algunas;Negativa;Positiva;Negativa;Positiva;Negativa;Negativa;Positiva;Negativa;Negativa;Negativa;Positiva;Negativa;AMBA;0.711
Gba;2;Hombre;Entre 18 y 29 años;Nivel Secundario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;No sabe/ no tiene opinión formada;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;La Libertad Avanza de Javier Milei;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Mala;Ns/Nc;Mala;Muy mala;Muy mala;Buena;Mala;Muy mala;Buena;Ns/Nc;Muy mala;Ns/Nc;José Luis Espert por la Libertad Avanza ;No sabe;Pocas;Negativa;Ns Nr;Negativa;Negativa;Negativa;Positiva;Negativa;Negativa;Positiva;Ns Nr;Negativa;Ns Nr;AMBA;0.711
Gba;2;Hombre;Entre 30 y 49 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Esta indeciso;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Mala;Buena;Mala;Mala;Mala;Mala;Mala;Mala;Buena;Ns/Nc;Mala;Buena;Diego Santilli por Juntos;Alberto Fernández y Cristina Kirchner;Algunas;Negativa;Positiva;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Positiva;Ns Nr;Negativa;Positiva;AMBA;0.711
Gba;2;Hombre;Entre 18 y 29 años;Nivel Primario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;No sabe/ no tiene opinión formada;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;La Libertad Avanza de Javier Milei;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Mala;Ns/Nc;Mala;Muy mala;Mala;Muy mala;Mala;Mala;Muy buena;Ns/Nc;Muy mala;Mala;José Luis Espert por la Libertad Avanza ;No sabe;Muchas;Negativa;Ns Nr;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Positiva;Ns Nr;Negativa;Negativa;AMBA;0.711
Gba;2;Mujer;Entre 30 y 49 años;Nivel Secundario, ya sea completo o incompleto;Siga gobernando el peronismo;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Podría llegar a votarlo;Podría llegar a votarlo;Frente de Todos de Cristina y Alberto Fernández;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Axel Kicillof  por el Frente de Todos;Cristina Kirchner  por el Frente de Todos;Sergio Massa por el Frente de Todos;Ninguno de los dos;Ninguno de los dos;Sergio Massa por el Frente de Todos;Ninguno de los dos;Mala;Mala;Mala;Buena;Mala;Muy mala;Buena;Muy mala;Mala;Mala;Buena;Ns/Nc;Axel Kicillof por el Frente de Todos;Alberto Fernández y Cristina Kirchner;Algunas;Negativa;Negativa;Negativa;Positiva;Negativa;Negativa;Positiva;Negativa;Negativa;Negativa;Positiva;Ns Nr;AMBA;0.711
Gba;2;Hombre;Entre 30 y 49 años;Nivel Secundario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Nunca lo votaría;Nunca lo votaría;No sabe;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;La Libertad Avanza de Javier Milei;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Mala;Buena;Ns/Nc;Mala;Ns/Nc;Mala;Mala;Mala;Buena;Ns/Nc;Mala;Ns/Nc;Néstor Pitrola por el Frente de Izquierda;Nicolás Del Caño;Pocas;Negativa;Positiva;Ns Nr;Negativa;Ns Nr;Negativa;Negativa;Negativa;Positiva;Ns Nr;Negativa;Ns Nr;AMBA;0.711
Gba;2;Hombre;Mayor de 50 años;Nivel Primario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Otro candidato;Otro candidato;Otro candidato;Otro candidato;Otro candidato;Otro candidato;Ninguno de los dos;Ninguno de los dos;Ninguno de los dos;Ninguno de los dos;Mala;Buena;Mala;Buena;Mala;Mala;Mala;Mala;Mala;Buena;Mala;Mala;Indeciso;Roberto Lavagna;Ninguna;Negativa;Positiva;Negativa;Positiva;Negativa;Negativa;Negativa;Negativa;Negativa;Positiva;Negativa;Negativa;AMBA;0.711
Gba;2;Mujer;Entre 30 y 49 años;Nivel Secundario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;No sabe;Podría llegar a votarlo;Nunca lo votaría;Esta indeciso;Indeciso;Indeciso;Indeciso;Indeciso;Indeciso;Daniel Scioli por el Frente de Todos;Ninguno de los dos;Ninguno de los dos;Indeciso;Mala;Muy mala;Mala;Mala;Ns/Nc;Muy mala;Mala;Muy mala;Ns/Nc;Ns/Nc;Mala;Mala;Indeciso;Alberto Fernández y Cristina Kirchner;Algunas;Negativa;Negativa;Negativa;Negativa;Ns Nr;Negativa;Negativa;Negativa;Ns Nr;Ns Nr;Negativa;Negativa;AMBA;0.711
Gba;2;Mujer;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;La Libertad Avanza de Javier Milei;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Mala;Mala;Mala;Muy mala;Muy mala;Mala;Mala;Muy mala;Buena;Muy mala;Muy mala;Ns/Nc;Indeciso;No sabe;Muchas;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Positiva;Negativa;Negativa;Ns Nr;AMBA;0.711
Gba;2;Mujer;Entre 30 y 49 años;Nivel Primario, ya sea completo o incompleto;Siga gobernando el peronismo;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Podría llegar a votarlo;Podría llegar a votarlo;Frente de Todos de Cristina y Alberto Fernández;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Otro candidato;Cristina Kirchner  por el Frente de Todos;Sergio Massa por el Frente de Todos;Ninguno de los dos;Ninguno de los dos;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Mala;Ns/Nc;Mala;Buena;Mala;Mala;Mala;Muy mala;Muy mala;Ns/Nc;Buena;Ns/Nc;Axel Kicillof por el Frente de Todos;Alberto Fernández y Cristina Kirchner;Algunas;Negativa;Ns Nr;Negativa;Positiva;Negativa;Negativa;Negativa;Negativa;Negativa;Ns Nr;Positiva;Ns Nr;AMBA;0.711
Gba;2;Hombre;Mayor de 50 años;Nivel Primario, ya sea completo o incompleto;No sabe/ no tiene opinión formada;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Podría llegar a votarlo;Podría llegar a votarlo;Podría llegar a votarlo;Frente de Todos de Cristina y Alberto Fernández;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Axel Kicillof  por el Frente de Todos;Cristina Kirchner  por el Frente de Todos;Sergio Massa por el Frente de Todos;Daniel Scioli por el Frente de Todos;Ninguno de los dos;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Mala;Mala;Mala;Buena;Buena;Mala;Buena;Mala;Mala;Mala;Buena;Mala;Axel Kicillof por el Frente de Todos;Alberto Fernández y Cristina Kirchner;Algunas;Negativa;Negativa;Negativa;Positiva;Positiva;Negativa;Positiva;Negativa;Negativa;Negativa;Positiva;Negativa;AMBA;0.711
Gba;2;Mujer;Mayor de 50 años;Nivel Primario, ya sea completo o incompleto;Siga gobernando el peronismo;Un liderazgo que genere diálogo y  consensos ;No sabe/ no tiene opinión formada;Nunca lo votaría;Nunca lo votaría;No sabe;Nunca lo votaría;Seguro lo votaría;Podría llegar a votarlo;Seguro lo votaría;Frente de Todos de Cristina y Alberto Fernández;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Axel Kicillof  por el Frente de Todos;Cristina Kirchner  por el Frente de Todos;Sergio Massa por el Frente de Todos;Indeciso;Ninguno de los dos;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Mala;Ns/Nc;Mala;Buena;Buena;Muy mala;Buena;Muy mala;Mala;Muy mala;Buena;Mala;Axel Kicillof por el Frente de Todos;Alberto Fernández y Cristina Kirchner;Pocas;Negativa;Ns Nr;Negativa;Positiva;Positiva;Negativa;Positiva;Negativa;Negativa;Negativa;Positiva;Negativa;AMBA;0.711
Gba;2;Mujer;Entre 30 y 49 años;Nivel Primario, ya sea completo o incompleto;Siga gobernando el peronismo;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Nunca lo votaría;Nunca lo votaría;Seguro lo votaría;Nunca lo votaría;Seguro lo votaría;Podría llegar a votarlo;Seguro lo votaría;Frente de Todos de Cristina y Alberto Fernández;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Axel Kicillof  por el Frente de Todos;Cristina Kirchner  por el Frente de Todos;Sergio Massa por el Frente de Todos;Daniel Scioli por el Frente de Todos;Ninguno de los dos;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Mala;Mala;Mala;Buena;Buena;Mala;Buena;Mala;Mala;Mala;Buena;Mala;Axel Kicillof por el Frente de Todos;Alberto Fernández y Cristina Kirchner;Muchas;Negativa;Negativa;Negativa;Positiva;Positiva;Negativa;Positiva;Negativa;Negativa;Negativa;Positiva;Negativa;AMBA;0.711
Gba;2;Hombre;Entre 30 y 49 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;No sabe/ no tiene opinión formada;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;La Libertad Avanza de Javier Milei;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Indeciso;Javier Milei de Avanza Libertad;Mala;Ns/Nc;Mala;Mala;Muy mala;Muy mala;Buena;Muy mala;Buena;Ns/Nc;Mala;Ns/Nc;Indeciso;José Luis Espert;Muchas;Negativa;Ns Nr;Negativa;Negativa;Negativa;Negativa;Positiva;Negativa;Positiva;Ns Nr;Negativa;Ns Nr;AMBA;0.711
Gba;2;Hombre;Entre 18 y 29 años;Nivel Primario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;La Libertad Avanza de Javier Milei;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Mala;Mala;Mala;Mala;Mala;Muy mala;Mala;Mala;Muy buena;Mala;Mala;Mala;Carolina Píparo por la Libertad Avanza;José Luis Espert;Algunas;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Positiva;Negativa;Negativa;Negativa;AMBA;0.711
Gba;2;Mujer;Entre 18 y 29 años;Nivel Secundario, ya sea completo o incompleto;Siga gobernando el peronismo;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;La Libertad Avanza de Javier Milei;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Mala;Mala;Mala;Mala;Mala;Mala;Mala;Mala;Buena;Mala;Mala;Mala;José Luis Espert por la Libertad Avanza ;No sabe;Muchas;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Positiva;Negativa;Negativa;Negativa;AMBA;0.711
Gba;2;Hombre;Entre 30 y 49 años;Nivel Primario, ya sea completo o incompleto;Siga gobernando el peronismo;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Podría llegar a votarlo;Frente de Todos de Cristina y Alberto Fernández;Daniel Scioli por el Frente de Todos;Daniel Scioli por el Frente de Todos;Axel Kicillof  por el Frente de Todos;Cristina Kirchner  por el Frente de Todos;Juan Schiaretti por el peronismo federal;Daniel Scioli por el Frente de Todos;Ninguno de los dos;Ninguno de los dos;Ninguno de los dos;Mala;Mala;Mala;Buena;Buena;Mala;Mala;Mala;Mala;Mala;Buena;Mala;Axel Kicillof por el Frente de Todos;Alberto Fernández y Cristina Kirchner;Muchas;Negativa;Negativa;Negativa;Positiva;Positiva;Negativa;Negativa;Negativa;Negativa;Negativa;Positiva;Negativa;AMBA;0.711
Gba;2;Mujer;Mayor de 50 años;Nivel Primario, ya sea completo o incompleto;Siga gobernando el peronismo;No sabe // no tiene opinión formada;No, no es un impedimento;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Podría llegar a votarlo;Frente de Todos de Cristina y Alberto Fernández;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Axel Kicillof  por el Frente de Todos;Indeciso;Sergio Massa por el Frente de Todos;Ninguno de los dos;Ninguno de los dos;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Mala;Ns/Nc;Mala;Mala;Mala;Mala;Buena;Mala;Mala;Buena;Buena;Mala;Axel Kicillof por el Frente de Todos;Alberto Fernández y Cristina Kirchner;Algunas;Negativa;Ns Nr;Negativa;Negativa;Negativa;Negativa;Positiva;Negativa;Negativa;Positiva;Positiva;Negativa;AMBA;0.711
Gba;2;Hombre;Entre 30 y 49 años;Nivel Primario, ya sea completo o incompleto;Siga gobernando el peronismo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Seguro lo votaría;Podría llegar a votarlo;Seguro lo votaría;Frente de Todos de Cristina y Alberto Fernández;Daniel Scioli por el Frente de Todos;Sergio Massa por el Frente de Todos;Axel Kicillof  por el Frente de Todos;Cristina Kirchner  por el Frente de Todos;Sergio Massa por el Frente de Todos;Daniel Scioli por el Frente de Todos;Ninguno de los dos;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Mala;Mala;Mala;Buena;Buena;Mala;Buena;Mala;Mala;Mala;Buena;Mala;Axel Kicillof por el Frente de Todos;Alberto Fernández y Cristina Kirchner;Muchas;Negativa;Negativa;Negativa;Positiva;Positiva;Negativa;Positiva;Negativa;Negativa;Negativa;Positiva;Negativa;AMBA;0.711
Victoria;8;Hombre;Entre 30 y 49 años;Nivel Secundario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo que genere diálogo y  consensos ;No, no es un impedimento;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;La Libertad Avanza de Javier Milei;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Mala;Ns/Nc;Buena;Muy mala;Mala;Buena;Mala;Buena;Buena;Ns/Nc;Mala;;;Alberto Fernández y Cristina Kirchner;Muchas;Negativa;Ns Nr;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Positiva;Ns Nr;Negativa;;Chicas;2.182
Caba;1;Mujer;Entre 30 y 49 años;Nivel Primario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;Esta indeciso;Indeciso;Indeciso;Indeciso;Indeciso;Indeciso;Indeciso;Indeciso;Indeciso;Indeciso;Mala;Mala;Mala;Mala;Mala;Mala;Mala;Mala;Mala;Mala;Mala;;;Alberto Fernández y Cristina Kirchner;Muchas;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;;AMBA;1.233
Rosario;3;Hombre;Entre 30 y 49 años;Nivel Primario, ya sea completo o incompleto;No sabe/ no tiene opinión formada;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Nunca lo votaría;Nunca lo votaría;No sabe;No sabe;Nunca lo votaría;Nunca lo votaría;No sabe;Esta indeciso;Indeciso;Indeciso;Indeciso;Indeciso;Indeciso;Indeciso;Indeciso;Indeciso;Indeciso;Mala;Ns/Nc;Ns/Nc;Mala;Ns/Nc;Mala;Mala;Mala;Ns/Nc;Ns/Nc;Ns/Nc;;;Alberto Fernández y Cristina Kirchner;Pocas;Negativa;Ns Nr;Ns Nr;Negativa;Ns Nr;Negativa;Negativa;Negativa;Ns Nr;Ns Nr;Ns Nr;;Grandes;0.771
Gba;2;Hombre;Entre 30 y 49 años;Nivel Secundario, ya sea completo o incompleto;Siga gobernando el peronismo;Un liderazgo que genere diálogo y  consensos ;No, no es un impedimento;Nunca lo votaría;Nunca lo votaría;Seguro lo votaría;Nunca lo votaría;Seguro lo votaría;Podría llegar a votarlo;Podría llegar a votarlo;Frente de Todos de Cristina y Alberto Fernández;Sergio Massa por el Frente de Todos;Indeciso;Otro candidato;Cristina Kirchner  por el Frente de Todos;Sergio Massa por el Frente de Todos;Daniel Scioli por el Frente de Todos;Ninguno de los dos;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Mala;Mala;Muy mala;Buena;Buena;Muy mala;Buena;Mala;Mala;Mala;Buena;Mala;Indeciso;Alberto Fernández y Cristina Kirchner;Muchas;Negativa;Negativa;Negativa;Positiva;Positiva;Negativa;Positiva;Negativa;Negativa;Negativa;Positiva;Negativa;AMBA;0.711
Gba;2;Hombre;Entre 18 y 29 años;Nivel Secundario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;No sabe;No sabe;Nunca lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;La Libertad Avanza de Javier Milei;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Mala;Ns/Nc;Mala;Muy mala;Muy mala;Mala;Muy mala;Ns/Nc;Muy buena;Ns/Nc;Mala;Mala;Fernando Burlando por la Libertad Avanza;Alberto Fernández y Cristina Kirchner;Muchas;Negativa;Ns Nr;Negativa;Negativa;Negativa;Negativa;Negativa;Ns Nr;Positiva;Ns Nr;Negativa;Negativa;AMBA;0.711
